request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT
0,qwen2-moe,10,80,46926808,53508847623,53461920815,0,42583928,763741725
1,qwen2-moe,22,126,347938952,75685654882,75337715930,32997974,98905048,724401114
2,qwen2-moe,16,85,479613521,59457364350,58977750829,32052952,127057406,854750012
3,qwen2-moe,4,16,570907776,8539119321,7968211545,35763151,198947221,664017628
4,qwen2-moe,13,109,587870263,74017055418,73429185155,18800664,181984734,764887345
5,qwen2-moe,15,78,604829893,56277477012,55672647119,1841034,165025104,883692811
6,qwen2-moe,15,99,610813769,68866550457,68255736688,159041228,349205921,812568293
7,qwen2-moe,2,11,811936856,7344060424,6532123568,148082834,386809418,725791507
8,qwen2-moe,18,76,903845071,54234564300,53330719229,56174619,294901203,919495159
9,qwen2-moe,5,31,1026970077,27397075737,26370105660,171776197,460088111,1014234833
10,qwen2-moe,83,147,1029050008,58846464408,57817414400,169696266,458008180,903397100
11,qwen2-moe,8,99,1379405756,73658398957,72278993201,107652432,413746139,794274650
12,qwen2-moe,14,100,1558048710,71944228505,70386179795,235103185,714352425,818443951
13,qwen2-moe,14,113,1581917473,76615489355,75033571882,211234422,690483662,757914867
14,qwen2-moe,3,107,1601985371,78000531253,76398545882,191166524,670415764,734601402
15,qwen2-moe,8,127,1622246514,80698894220,79076647706,170905381,650154621,664509644
16,qwen2-moe,23,83,1658521887,57587734942,55929213055,134630008,613879248,932153550
17,qwen2-moe,18,140,1732914670,80993530883,79260616213,60237225,539486465,649677182
18,qwen2-moe,30,51,1789468376,24227531453,22438063077,3683519,482932759,1068479194
19,qwen2-moe,25,79,1823890676,54234564300,52410673624,448510459,1140891480,970568030
20,qwen2-moe,8,37,1918527763,33337570062,31419042299,353873372,1046254393,1083415251
21,qwen2-moe,10,20,1933551216,13225302081,11291750865,338849919,1031230940,1129175086
22,qwen2-moe,4,54,1968102767,51169584660,49201481893,304298368,996679389,984029637
23,qwen2-moe,68,181,2013730489,80003977290,77990246801,258670646,951051667,690179175
24,qwen2-moe,7,95,2074623958,73245324051,71170700093,197777177,890158198,808757955
25,qwen2-moe,10,20,2228417559,13225302081,10996884522,43983576,736364597,1099688452
26,qwen2-moe,16,117,2250691145,77477841541,75227150396,21709990,714091011,744823271
27,qwen2-moe,8,91,2322894061,71481361939,69158467878,641888095,1492416623,833234552
28,qwen2-moe,47,78,2412644533,36094344341,33681699808,552137623,1402666151,1086506445
29,qwen2-moe,13,131,2417400918,80814018017,78396617099,547381238,1397909766,664378111
30,qwen2-moe,26,129,2510934220,78236870792,75725936572,453847936,1304376464,735203267
31,qwen2-moe,8,35,2529630345,32359656914,29830026569,435151811,1285680339,1104815798
32,qwen2-moe,43,155,2536356738,80003977290,77467620552,428425418,1278953946,691675183
33,qwen2-moe,43,56,2833725517,17696222017,14862496500,131056639,981585167,1143268961
34,qwen2-moe,17,84,3170788552,63525956423,60355167871,644522132,1712434692,900823401
35,qwen2-moe,8,55,3336021709,50362557247,47026535538,479288975,1547201535,1000564585
36,qwen2-moe,1,28,3372350495,33337570062,29965219567,442960189,1510872749,1109822946
37,qwen2-moe,9,60,3382628226,53508847623,50126219397,432682458,1500595018,982867047
38,qwen2-moe,2,23,3497903303,27397075737,23899172434,317407381,1385319941,1138055830
39,qwen2-moe,1,21,3555912387,26359131977,22803219590,259398297,1327310857,1140160979
40,qwen2-moe,103,105,3568927610,6132093520,2563165910,246383074,1314295634,1281582955
41,qwen2-moe,63,150,3637282333,73658398957,70021116624,178028351,1245940911,804840420
42,qwen2-moe,5,124,3640781705,80993530883,77352749178,174528979,1242441539,650023102
43,qwen2-moe,17,47,3880823994,36963177563,33082353569,1002399250,2251269526,1102745118
44,qwen2-moe,6,71,3910769772,62965716394,59054946622,972453472,2221323748,908537640
45,qwen2-moe,20,46,4019395352,33337570062,29318174710,863827892,2112698168,1127622104
46,qwen2-moe,36,162,4056750010,81323175283,77266425273,826473234,2075343510,613225597
47,qwen2-moe,109,213,4130161099,78874358764,74744197665,753062145,2001932421,718694208
48,qwen2-moe,9,90,4209283479,71481361939,67272078460,673939765,1922810041,830519487
49,qwen2-moe,73,112,4229722339,44586363707,40356641368,653500905,1902371181,1034785676
